TLID	FEDIRP	FENAME	FETYPE	FEDIRS	FRADDL	TOADDL	FRADDR	TOADDR	coords
184619449	S	Wenna	St		1040.0	1026.0	1199.0	1025.0	[[24.837642000000017, 36.045503]]
184632270	N	Hallanol	Dr						[[24.841486000000017, 36.070512], [24.841563000000022, 36.07042]]
184632283	S	Ermou	St						[[24.847478000000024, 36.048091], [24.84836900000002, 36.048074]]
184632377	N	Handstil	Pl						[[24.841563000000022, 36.07042], [24.84196300000002, 36.07072]]
184633316									[[24.847472000000025, 36.049127], [24.847416000000024, 36.049127]]
184633423	N	Pilau	St		3699.0	3097.0			[[24.844279000000014, 36.07631], [24.844363000000016, 36.07622]]
184633684	N	Tempon	Dr						[[24.839163000000013, 36.07692], [24.839091000000025, 36.077011999999996]]
184642319		Egeou	Ave		5600.0	5698.0	5569.0	5585.0	[[24.848567000000017, 36.05032], [24.847064000000017, 36.05032]]
184642322	N	Leeno	St		4716.0	4798.0	4763.0	4799.0	[[24.845963000000026, 36.08712], [24.846063000000015, 36.08782]]
184642323	N	Santaroza	St		5598.0	5500.0	5599.0	5501.0	[[24.845963000000026, 36.08712], [24.847737000000023, 36.087125]]
184642332		Reto	Way						[[24.845463000000024, 36.090173], [24.846357000000026, 36.090144]]
184642931	N	Rosyn	Dr		5300.0	5308.0			[[24.83376300000002, 36.092819999999996], [24.83289600000002, 36.093682], [24.832514000000018, 36.093942], [24.83231600000002, 36.094293], [24.831994000000023, 36.094468], [24.831476000000023, 36.09456], [24.830957000000012, 36.094598], [24.830499000000017, 36.094697], [24.82998000000002, 36.094918]]
184642937	N	Sachtouri	Ln						[[24.831339000000014, 36.091355], [24.830958000000024, 36.091523]]
184642938		Pherlau	Ln	N	6700.0	6798.0	6701.0	6799.0	[[24.833781000000016, 36.091111], [24.833353000000017, 36.091271], [24.833094000000017, 36.091447], [24.83289600000002, 36.091615], [24.832438000000025, 36.091622], [24.832117000000025, 36.091661], [24.831858000000025, 36.091615], [24.831599000000026, 36.091523], [24.831339000000014, 36.091355]]
184642939		Pherlau	Ln	N					[[24.831919000000013, 36.090692], [24.831599000000026, 36.090829], [24.83147700000002, 36.090959], [24.831400000000016, 36.091096], [24.831400000000016, 36.09118], [24.831339000000014, 36.091355]]
184642940	N	Obil	St		5000.0	5098.0	5001.0	5099.0	[[24.833781000000016, 36.091111], [24.83376300000002, 36.092819999999996]]
184642941	N	Distomou	St		6600.0	6798.0	6521.0	6799.0	[[24.835163000000023, 36.092819999999996], [24.83376300000002, 36.092819999999996]]
184642942	N	Obil	St		4942.0	4998.0	4941.0	4999.0	[[24.833872000000014, 36.090524], [24.833781000000016, 36.091111]]
184642955	N	Medel	St		5010.0	5220.0	5001.0	5223.0	[[24.83506300000002, 36.09102], [24.835163000000023, 36.092819999999996]]
184642956	N	Distomou	St		6500.0	6598.0	6501.0	6519.0	[[24.836463000000023, 36.092819999999996], [24.835163000000023, 36.092819999999996]]
184642957	N	Diogenous	St						[[24.833781000000016, 36.091111], [24.834339000000014, 36.091057]]
184642958	N	Diogenous	St						[[24.834339000000014, 36.091057], [24.83506300000002, 36.09102]]
184642960	N	Diogenous	St		6500.0	6598.0	6501.0	6599.0	[[24.83636300000002, 36.09102], [24.83506300000002, 36.09102]]
184642961	N	Medel	St		4900.0	5008.0	4907.0	4999.0	[[24.83506300000002, 36.08922], [24.83506300000002, 36.09102]]
184642962	N	Kakavaki	St		5002.0	5304.0	5009.0	5299.0	[[24.83636300000002, 36.09102], [24.836463000000023, 36.092819999999996]]
184642963	N	Kakavaki	St		4900.0	5000.0	4909.0	5007.0	[[24.836349000000013, 36.08984], [24.83636300000002, 36.09102]]
184642964		Pherlau	Ln	N					[[24.83231600000002, 36.08999], [24.83199500000002, 36.090241], [24.831919000000013, 36.090333], [24.831919000000013, 36.090469999999996], [24.831919000000013, 36.090547], [24.831919000000013, 36.090692]]
184642965	N	Pergamou	Ln		6700.0	6798.0	6701.0	6799.0	[[24.833872000000014, 36.090524], [24.83341400000002, 36.090478], [24.833033000000015, 36.090554], [24.83257500000002, 36.090737], [24.83231600000002, 36.090737], [24.832179000000025, 36.090692], [24.831919000000013, 36.090692]]
184642967	N	Obil	St		4900.0	4940.0	4901.0	4939.0	[[24.833872000000014, 36.089470999999996], [24.833872000000014, 36.090524]]
184642968	N	Desafio	St		6614.0	6798.0	6601.0	6709.0	[[24.834363000000025, 36.08922], [24.833872000000014, 36.089470999999996]]
184642972	N	Desafio	St		6500.0	6612.0	6577.0	6599.0	[[24.83506300000002, 36.08922], [24.834363000000025, 36.08922]]
184642977	N	Medel	St		4850.0	4898.0	4851.0	4905.0	[[24.835163000000023, 36.08892], [24.83506300000002, 36.08922]]
184642979	N	Medel	St		4824.0	4848.0	4815.0	4849.0	[[24.834363000000025, 36.088119999999996], [24.834363000000025, 36.08882]]
184642980	N	Medel	St		4800.0	4822.0	4801.0	4813.0	[[24.834363000000025, 36.08782], [24.834363000000025, 36.088119999999996]]
184642981	N	Joya	Rd		6400.0	6598.0	6401.0	6599.0	[[24.83596300000002, 36.088119999999996], [24.834363000000025, 36.088119999999996]]
184642982	N	Derwen	St		6600.0	6650.0	6601.0	6649.0	[[24.834963000000016, 36.08772], [24.834363000000025, 36.08782]]
184642984	N	Kiou	St		6550.0	6598.0	6551.0	6599.0	[[24.835163000000023, 36.08892], [24.834363000000025, 36.08882]]
184642985	N	Kiou	St		6500.0	6548.0	6501.0	6549.0	[[24.835763000000014, 36.08872], [24.835163000000023, 36.08892]]
184642986	N	Derwen	St		6500.0	6598.0	6421.0	6599.0	[[24.836463000000023, 36.08772], [24.834963000000016, 36.08772]]
184642987	N	Medel	St		4600.0	4798.0	4601.0	4799.0	[[24.835363000000015, 36.08562], [24.834963000000016, 36.08772]]
184642989	N	Kakavaki	St				4901.0	4907.0	[[24.83636300000002, 36.08922], [24.836349000000013, 36.08984]]
184642990	N	Desafio	St		6400.0	6498.0	6435.0	6499.0	[[24.837163000000018, 36.08922], [24.83636300000002, 36.08922]]
184642991	N	Joya	Rd		4800.0	4848.0	4801.0	4849.0	[[24.837163000000018, 36.08922], [24.837163000000018, 36.08882]]
184642992	N	Desafio	St		6350.0	6398.0	6401.0	6433.0	[[24.837563000000017, 36.08922], [24.837163000000018, 36.08922]]
184642993	N	Kakavaki	St		4800.0	4850.0	4801.0	4851.0	[[24.83596300000002, 36.088119999999996], [24.835763000000014, 36.08872]]
184642994	N	Joya	Rd		4850.0	6398.0	4851.0	6399.0	[[24.837163000000018, 36.08882], [24.83596300000002, 36.088119999999996]]
184642995	N	Kiou	St		6300.0	6398.0	6301.0	6399.0	[[24.839176000000023, 36.088751], [24.837163000000018, 36.08882]]
184642996	N	Kakavaki	St		4650.0	4698.0	4701.0	4799.0	[[24.836463000000023, 36.08672], [24.836463000000023, 36.08772]]
184642997	N	Derwen	St		6400.0	6498.0	6401.0	6419.0	[[24.83726300000002, 36.08752], [24.836463000000023, 36.08772]]
184642999									[[24.834650000000025, 36.085069], [24.834696000000022, 36.085824]]
184643000		Grammou							[[24.834696000000022, 36.085824], [24.835363000000015, 36.08562]]
184643001									[[24.835863000000018, 36.08562], [24.835363000000015, 36.08562]]
184643002	N	Kakavaki	St		4600.0	4648.0	4601.0	4699.0	[[24.836463000000023, 36.08562], [24.836463000000023, 36.08672]]
184643003	N	Medel	St		4500.0	4598.0	4501.0	4599.0	[[24.835663000000025, 36.08462], [24.835863000000018, 36.08562]]
184643004	N	Delfon	St		6500.0	6614.0	6501.0	6599.0	[[24.836463000000023, 36.08562], [24.835863000000018, 36.08562]]
184643005	N	Darluniau	St		6500.0	6598.0	6501.0	6599.0	[[24.836463000000023, 36.08462], [24.835663000000025, 36.08462]]
184643006	N	Medel	St		4300.0	4498.0	4301.0	4499.0	[[24.835763000000014, 36.08282], [24.835663000000025, 36.08462]]
184643007	N	Kakavaki	St		4500.0	4598.0	4501.0	4599.0	[[24.836463000000023, 36.08462], [24.836463000000023, 36.08562]]
184643008	N	Delfon	St		6400.0	6498.0	6351.0	6499.0	[[24.838263000000026, 36.08562], [24.836463000000023, 36.08562]]
184643009	N	Kakavaki	St		4300.0	4498.0	4351.0	4499.0	[[24.836463000000023, 36.08272], [24.836463000000023, 36.08462]]
184643010	N	Darluniau	St		6400.0	6498.0	6401.0	6499.0	[[24.837563000000017, 36.08462], [24.836463000000023, 36.08462]]
184643012	N	Carretera	St		6500.0	6598.0	6501.0	6599.0	[[24.836463000000023, 36.08272], [24.835763000000014, 36.08282]]
184643013	N	Kakavaki	St		4150.0	4298.0	4201.0	4349.0	[[24.836563000000012, 36.08192], [24.836463000000023, 36.08272]]
184643014	N	Kakavaki	St		4000.0	4148.0	4001.0	4199.0	[[24.83636300000002, 36.08002], [24.836563000000012, 36.08192]]
184643015	N	Carnero	St		6400.0	6498.0	6401.0	6499.0	[[24.837563000000017, 36.08192], [24.836563000000012, 36.08192]]
184643017	N	Camino	St		6400.0	6498.0	6401.0	6499.0	[[24.837463000000014, 36.08002], [24.83636300000002, 36.08002]]
184643047	N	Kiprou	St		2000.0	2206.0	1751.0	2299.0	[[24.824063000000024, 36.06182], [24.824163000000013, 36.06352]]
184643048	N	Anrop	St		7308.0	7398.0	7301.0	7313.0	[[24.825963000000016, 36.06352], [24.824163000000013, 36.06352]]
184643053	N	Kiprou	St		1700.0	1998.0	1701.0	1749.0	[[24.824163000000013, 36.06032], [24.824063000000024, 36.06182]]
184643056	N	Opalante	Dr		1500.0	1698.0	1501.0	1699.0	[[24.824163000000013, 36.06032]]
184643057	N	Kiprou	St		1500.0	1698.0	1501.0	1699.0	[[24.824263000000016, 36.05852], [24.824163000000013, 36.06032]]
184643058	N	Alfiou	St		7300.0	7398.0	7301.0	7399.0	[[24.82566300000002, 36.06022], [24.824163000000013, 36.06032]]
